fold_start,fold_end,threshold,test_roc_auc,test_precision,test_recall,test_f1,n_test_positive,signal
1764,2394,0.14705446480618106,,0.0,0.0,0.0,0,realized_vol
0,630,0.244691535836567,,0.0,0.0,0.0,0,avg_correlation
126,756,0.244691535836567,0.8292682926829268,0.7674418604651163,0.75,0.7586206896551724,44,avg_correlation
252,882,0.23388702281226026,,0.0,0.0,0.0,0,avg_correlation
378,1008,0.21786587769556798,,0.0,0.0,0.0,0,avg_correlation
504,1134,0.2103134363332329,0.3516624040920716,0.28846153846153844,0.4411764705882353,0.3488372093023256,34,avg_correlation
630,1260,0.2103134363332329,,0.0,0.0,0.0,0,avg_correlation
756,1386,0.2288611793395952,,0.0,0.0,0.0,0,avg_correlation
882,1512,0.2288611793395952,0.9271240668325631,0.7941176470588235,0.9310344827586207,0.8571428571428571,29,avg_correlation
1008,1638,0.2288611793395952,,0.0,0.0,0.0,0,avg_correlation
1134,1764,0.31680405419863394,,0.0,0.0,0.0,0,avg_correlation
1260,1890,0.31680405419863394,0.6742944317315027,0.9666666666666667,0.5087719298245614,0.6666666666666666,57,avg_correlation
1386,2016,0.30166939161201156,,0.0,0.0,0.0,0,avg_correlation
1512,2142,0.30166939161201156,,0.0,0.0,0.0,0,avg_correlation
1638,2268,0.30166939161201156,0.6061144685389265,0.0,0.0,0.0,29,avg_correlation
1764,2394,0.1649469579530548,,0.0,0.0,0.0,0,avg_correlation
0,630,4.56377629119436,,0.0,0.0,0.0,0,top_eigenvalue
126,756,4.56377629119436,0.8201219512195121,0.7727272727272727,0.7727272727272727,0.7727272727272727,44,top_eigenvalue
252,882,4.425581923692604,,0.0,0.0,0.0,0,top_eigenvalue
378,1008,4.083571941870547,,0.0,0.0,0.0,0,top_eigenvalue
504,1134,4.083571941870547,0.3558184143222506,0.29411764705882354,0.4411764705882353,0.35294117647058826,34,top_eigenvalue
630,1260,4.083571941870547,,0.0,0.0,0.0,0,top_eigenvalue
756,1386,4.412227694045736,,0.0,0.0,0.0,0,top_eigenvalue
882,1512,4.412227694045736,0.9271240668325631,0.7941176470588235,0.9310344827586207,0.8571428571428571,29,top_eigenvalue
1008,1638,4.412227694045736,,0.0,0.0,0.0,0,top_eigenvalue
1134,1764,5.501886554741105,,0.0,0.0,0.0,0,top_eigenvalue
1260,1890,5.501886554741105,0.6315789473684211,0.9666666666666667,0.5087719298245614,0.6666666666666666,57,top_eigenvalue
1386,2016,5.413503338500545,,0.0,0.0,0.0,0,top_eigenvalue
1512,2142,5.413503338500545,,0.0,0.0,0.0,0,top_eigenvalue
1638,2268,5.413503338500545,0.5492356914326342,0.0,0.0,0.0,29,top_eigenvalue
1764,2394,3.2071106298885184,,0.0,0.0,0.0,0,top_eigenvalue
